COLUMN_1,COLUMN_2
001DEWITT WARD 1,001DEWITT 1
001DEWITT WARD 2,001DEWITT 2
001DEWITT WARD 3,001DEWITT 3
001STUTTGART WARD 1,001STUTTGART 1
001STUTTGART WARD 2,001STUTTGART 2
001STUTTGART WARD 3,001STUTTGART 3
003CROSSROADS,003CROSS ROADS
003FH CITY,003FOUNTAIN HILL CITY
003FH RURAL,003FOUNTAIN HILL RURAL
003HBG RURAL/BC/MIST,003HAMBURG RURAL/BEECH CREEK/MIST
003MONTROSE RRL/BOY/SNY/TRA,003MONTROSE RURAL/BOYDELL/SNYDER-TRAFALGAR
003MT ZION,003MT. ZION
003VOTECH,003VO - TECH
0475-B OZARK RURAL,0475-B
0475-C WEBB CITY,0475-C
0476-A ALTUS RURAL,0476-A
0476-B ALTUS CITY,0476-B
0476-C DENNING,0476-C
0476-D WEIDERKEHR VILLAGE,0476-D
0477-A CECIL,0477-A
0477-B WEBB CITY,0477-B
0477-C ETNA,0477-C
0477-D DONALD,0477-D
0478-A BRANCH CITY,0478-A
0478-B CHARLESTON CITY WD. 1,0478-B
0478-C CHARLESTON RURAL,0478-C
0478-D VESTA,0478-D
0478-E DONALD,0478-E
0478-F CECIL,0478-F
0478-G DONALD,0478-G
0479-A CHARLESTON WD. 2,0479-A
0479-B CHARLESTON WD. 3,0479-B
0479-C CHARLESTON RURAL,0479-C
049ABSENTEE,
049BENTON/UNION,049BENTON / UNION
049FULTON/MT CALM,049FULTON / MT CALM
049SOUTHFORK/WILSON,049SOUTHFORK / WILSON
049VIDETTE/BIG CREEK,049VIDETTE / BIG CREEK
051011,05111
051012,05112
051013,05113
051014,05114
051021,05121
051022,05122
051023,05123
051024,05124
051031,05131
051032,05132
051033,05133
051034,05134
051041,05141
051042,05142
051043,05143
051044,05144
051051,05151
051052,05152
051053,05153
051054,05154
051061,05161
051062,05162
051063,05163
051064,05164
051065,05165
051071,05171
051072,05172
051073,05173
051074,05174
051081,05181
051082,05182
051083,05183
051084,05184
051091,05191
051092,05192
051093,05193
051094,05194
051095,05195
053DEKALB 2,053DEKALB TULL 2
053SIMPSON 1,053SIMPSON
053WARD 1,053SHERIDAN WARD 1
053WARD 2,053SHERIDAN WARD 2
053WARD 3,053SHERIDAN WARD 3
055DELAPLAINE-JONES,055DELAPLAINE - JONES
055LAFE-BRECKENRIDGE,055LAFE/BRECKENRIDGE
055MARMADUKE-HURRICANE,055MARMADUKE/HURRICANE
055OAK GROVE-UNION,055OAK GROVE/UNION
059FRIENDSHIP,059FRIENDSHIP CITY
059MIDWAY,059CENTRAL (MIDWAY)
059MIDWAY CITY,059MIDWAY CITY 1&2
059ROCKPORT,059ROCKPORT WARDS 1-2
059SALINE,059GLEN ROSE (SALINE)
059WARD 1,059MALVERN WARD 1
059WARD 2,059MALVERN WARD 2
059WARD 3,059MALVERN WARD 3
